order_id;checkout_id;brand_id;retailer_id;order_amount;has_discount;fees_percentage;payment_cost_percentage;shipping_cost_euro;net_margin;is_profitable
3080;703;355;1646;117.73;0;0.15;0.05;16.15;-4.377;0
6605;2482;203;265;119.63;0;0.15;0.05;16.11;-4.147;0
873;476;79;1275;302.4;0;0.15;0.05;16.082384;14.157616;1
4736;1824;663;149;167.92;0;0.15;0.05;16.05;0.742;1
10935;1736;893;4011;188.16;0;0.15;0.05;16.0452699;2.7707301;1
10063;3524;809;6218;129.6;0;0.15;0.05;16.0319763;-3.0719763;0
2020;972;21;2095;120;0;0.15;0.05;16.03;-4.03;0
4293;1624;630;3317;144;0;0.15;0.05;16.02;-1.62;0
9917;2650;144;5459;300;0;0.15;0.05;16.0046701;13.9953299;1
7433;2720;8;5548;619.2;100;0.05;0.05;16;-116;0
8174;2938;95;5801;430.6;100;0.05;0.05;16;-116;0
6386;806;223;1057;112.68;0;0.15;0.05;16;-4.732;0
1502;737;223;1829;112.68;0;0.15;0.05;16;-4.732;0
2311;1056;267;1325;170.4;100;0.05;0.05;16;-116;0
1376;694;267;1676;170.4;0;0.15;0.05;16;1.04;1
1741;810;268;1046;221.6;0;0.15;0.05;16;6.16;1
3831;1574;375;1334;156.66;0;0.15;0.05;16;-0.334;0
1940;913;375;1562;215.85;0;0.15;0.05;16;5.585;1
6234;3090;375;2133;181.66;0;0.15;0.05;16;2.166;1
4459;1755;375;4354;107.92;0;0.15;0.05;16;-5.208;0
6965;2124;375;4703;111.4;0;0.15;0.05;16;-4.86;0
6742;2516;375;5302;139.25;0;0.15;0.05;16;-2.075;0
10335;3599;375;6655;132.29;0;0.15;0.05;16;-2.771;0
2687;535;387;1159;244.56;0;0.15;0.05;16;8.456;1
2124;746;396;1761;474;0;0.15;0.05;16;31.4;1
7415;1858;411;1761;413.16;0;0.15;0.05;16;25.316;1
3805;1650;745;1173;132.01;0;0.15;0.05;16;-2.799;0
8053;2863;745;5711;125.42;0;0.15;0.05;16;-3.458;0
9224;2960;1006;3619;441.65;0;0.15;0.05;16;28.165;1
7055;1583;1006;3782;417.45;0;0.15;0.05;16;25.745;1
9088;3705;1006;6119;120;0;0.15;0.05;16;-4;0
3078;1592;41;1646;120.6;0;0.15;0.05;15.9894307;-3.9294307;0
1464;636;103;1609;121.52;0;0.15;0.05;15.9612712;-3.8092712;0
8289;2553;1025;1657;395.27;0;0.15;0.05;15.94;23.587;1
8112;1592;1026;1646;133.2;0;0.15;0.05;15.9369375;-2.6169375;0
9017;1148;998;2280;110;0;0.15;0.05;15.9198717;-4.9198717;0
2165;989;380;2173;288;0;0.15;0.05;15.9;12.9;1
6759;2228;997;519;301.2;0;0.15;0.05;15.9;14.22;1
11368;2307;1200;2022;99.01;0;0.15;0.05;15.89;-5.989;0
11534;1736;1200;4011;89.25;0;0.15;0.05;15.89;-6.965;0
1704;812;139;1775;120;0;0.15;0.05;15.88;-3.88;0
6114;994;846;2348;343.2;0;0.15;0.05;15.83;18.49;1
